Chapter,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
69,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0
70,2.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0
71,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
73,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
74,2.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,4.0
75,2.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,2.0,3.0
76,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0
77,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0
78,6.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0
79,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
80,8.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0
81,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0
